1H: 43845 bars. Starting 2000 trial optimizer...
[STARTUP] Running 400 parallel trials...
[STARTUP] trial 400/2000 | best_score=0.5326 | validated=93
[TPE] Running 1200 sequential trials...
[TPE] trial 410/2000 | best_score=0.5326 | validated=93
[TPE] trial 420/2000 | best_score=0.5326 | validated=93
[TPE] trial 430/2000 | best_score=0.5326 | validated=93
[TPE] trial 440/2000 | best_score=0.5326 | validated=93
[TPE] trial 450/2000 | best_score=0.5326 | validated=93
[TPE] trial 460/2000 | best_score=0.5326 | validated=93
[TPE] trial 470/2000 | best_score=0.5326 | validated=93
[TPE] trial 480/2000 | best_score=0.5326 | validated=93
[TPE] trial 490/2000 | best_score=0.5326 | validated=93
[TPE] trial 500/2000 | best_score=0.5326 | validated=93
[TPE] trial 510/2000 | best_score=0.5326 | validated=93
[TPE] trial 520/2000 | best_score=0.5326 | validated=93
[TPE] trial 530/2000 | best_score=0.5326 | validated=93
[TPE] trial 540/2000 | best_score=0.5326 | validated=93
[TPE] trial 550/2000 | best_score=0.5339 | validated=72
[TPE] trial 560/2000 | best_score=0.5339 | validated=72
[TPE] trial 570/2000 | best_score=0.5339 | validated=72
[TPE] trial 580/2000 | best_score=0.5339 | validated=72
[TPE] trial 590/2000 | best_score=0.5362 | validated=12
[TPE] trial 600/2000 | best_score=0.5362 | validated=12
[TPE] trial 610/2000 | best_score=0.5362 | validated=12
[TPE] trial 620/2000 | best_score=0.5362 | validated=12
[TPE] trial 630/2000 | best_score=0.5362 | validated=12
[TPE] trial 640/2000 | best_score=0.5362 | validated=12
[TPE] trial 650/2000 | best_score=0.5362 | validated=12
[TPE] trial 660/2000 | best_score=0.5362 | validated=12
[TPE] trial 670/2000 | best_score=0.5362 | validated=12
[TPE] trial 680/2000 | best_score=0.5362 | validated=12
[TPE] trial 690/2000 | best_score=0.5362 | validated=12
[TPE] trial 700/2000 | best_score=0.5362 | validated=12
[TPE] trial 710/2000 | best_score=0.5362 | validated=12
[TPE] trial 720/2000 | best_score=0.5362 | validated=12
[TPE] trial 730/2000 | best_score=0.5362 | validated=12
[TPE] trial 740/2000 | best_score=0.5362 | validated=12
[TPE] trial 750/2000 | best_score=0.5362 | validated=12
[TPE] trial 760/2000 | best_score=0.5362 | validated=12
[TPE] trial 770/2000 | best_score=0.5362 | validated=12
[TPE] trial 780/2000 | best_score=0.5362 | validated=12
[TPE] trial 790/2000 | best_score=0.5362 | validated=12
[TPE] trial 800/2000 | best_score=0.5362 | validated=12
[TPE] trial 810/2000 | best_score=0.5362 | validated=12
[TPE] trial 820/2000 | best_score=0.5362 | validated=12
[TPE] trial 830/2000 | best_score=0.5362 | validated=12
[TPE] trial 840/2000 | best_score=0.5362 | validated=12
[TPE] trial 850/2000 | best_score=0.5362 | validated=12
[TPE] trial 860/2000 | best_score=0.5362 | validated=12
[TPE] trial 870/2000 | best_score=0.5362 | validated=12
[TPE] trial 880/2000 | best_score=0.5362 | validated=12
[TPE] trial 890/2000 | best_score=0.5362 | validated=12
